"Phone Code","Description"
"381-11","Beograd (Belgrade)"
"381-30","Bor"
"381-35","Jagodina"
"381-28","Kosovska Mitrovica"
"381-34","Kragujevac"
"381-36","Kraljevo"
"381-37","Krushevac"
"381-18","Ni? (Nish)"
"381-20","Novi Pazar"
"381-21","Novi Sad"
"381-13","Panchevo"
"381-39","Pec"
"381-10","Pirot"
"381-12","Pozarevac"
"381-38","Prishtina"
"381-25","Sombor"
"381-22","Sremska Mitrovica"
"381-24","Subotica"
"381-31","Uzice"
"381-14","Valjevo"
"381-19","Zajechar"
