"Phone Code","Description"
"243-3","Bas-Congo, Bandundu"
"243-4","Kasai-Oriental"
"243-2","Katanga"
"243-1","Kinshasa"
"243-6","Nord-Kivu, Sud-Kivu, Maniema"
"243-5","Province Orientale (Kisanga; M"
