"Phone Code","Description"
"242-25","Bouenza"
"242-28","Brazzaville"
"242-21","Cuvette"
"242-25","Lekoumou"
"242-22","Likouala"
"242-52","Mobile Phones - Celtel Congo"
"242-53","Mobile Phones - Celtel Congo"
"242-55","Mobile Phones - Celtel Congo"
"242-441","Mobile Phones - CYRUS"
"242-442","Mobile Phones - CYRUS"
"242-66","Mobile Phones - Libertis Telecom"
"242-67","Mobile Phones - Libertis Telecom"
"242-25","Niari"
"242-24","Plateaux"
"242-29","Pointe-Noire"
"242-23","Pool"
"242-22","Sangha"
