"Phone Code","Description"
"502-81","Basse Terre"
"502-86","Capesterre"
"502-84","Gosier"
"502-97","Grand Bourg"
"502-26","Jarry"
"502-8 o","Pointe A Pitre"
" 9","Pointe A Pitre"
