"Phone Code","Description"
"86-990","Kelamayi - Xinjiang"
"86-992","Kuitun - Xinjiang"
"86-871","Kunming - Yunnan"
"86-512","Kunshan - Jiangsu"
"86-996","Kurle - Xinjiang"
"86-5427","Lai-yang - Shandong"
"86-7442","Laiyang - Hunan"
"86-3881","Lankao - Henan"
"86-579","Lanxi - Zhejiang"
"86-931","Lanzhou - Gansu"
"86-833","Leshan - Sichuan"
"86-891","Lhasa - Xizang (Tibet)"
"86-597","Liancheng - Fujian"
"86-4848","Liangcheng - Nei Mongol"
"86-518","Lianyungang - Jiangsu"
"86-419","Liaoyang - Liaoning"
"86-437","Liaoyuan - Jilin"
"86-8891","Lijiangshi - Yunnan"
"86-5430","Lijin - Shandong"
"86-571","Lin-an - Zhejiang"
"86-357","Linfen - Shanxi"
"86-576","Linhai - Zhejiang"
"86-29","Lintong - Shaanxi"
"86-4868","Linxi - Neimengu"
"86-539","Linyi - Shandong"
"86-894","Linzhi - Xizang (Tibet)"
"86-772","Liujiang - Guangxi"
"86-731","Liuyang - Hunan"
"86-772","Liuzhou - Guangxi"
"86-5885","Longquan - Zhejiang"
"86-9421","Longxi - Gansu"
"86-996","Luntai - Xinjiang"
"86-379","Luoyang - Henan"
"86-792","Lushanshi - Jiangxi"
"86-555","Ma-anshan - Anhui"
"86-7232","Machen - Hubei"
"86-8054","Mangkang - Xizang"
"86-4812","Manzhouli - Nei Mongol"
"86-7683","Maomin - Guangdong"
"86-8425","Meishan - Sichuan"
"86-753","Meizhou - Guangdong"
"86-816","Mianyang - Sichuan"
"86-591","Minhou - Fujian"
"86-9041","Miquan - Xinjiang"
"86-457","Mohe - Heilongjiang"
"86-467","Mudanjiang - Heilongjiang"
"86-791","Nanchang - Jiangxi"
"86-7048","Nanfeng - Jiangxi"
"86-25","Nanjing - Jiangsu"
"86-771","Nanning - Guangxi"
"86-513","Nantong - Jiangsu"
"86-377","Nanyang - Henan"
"86-4665","Nenjiang - Heilongjiang"
"86-574","Ningbo - Zhejiang"
"86-4862","Ningcheng - Nei Mongol"
"86-5639","Ningguo - Anhui"
"86-598","Ninghua - Fujian"
"86-817","Nnchong - Sichuan"
"86-812","Panzhihua - Sichuan"
"86-810","Peilin - Sichuan"
"86-5457","Penglai - Shandong"
"86-375","Pindinshan - Henan"
"86-799","Ping-xiang - Jiangxi"
"86-933","Pingliang - Gansu"
"86-7815","Pingxiang - Guangxi"
"86-7847","Pinle - Guangxi"
"86-594","Putian - Fujian"
"86-5232","Qidong - Jiangsu"
"86-938","Qin-an - Gansu"
"86-532","Qingdao - Shandong"
"86-335","Qinhuangdao - Hebei"
"86-898","Qiongshan - Hainan"
"86-452","Qiqihar - Heilongjiang"
"86-994","Qitai - Xinjiang"
"86-595","Quanzhou - Fujian"
"86-5473","Qufu - Shandong"
"86-751","Qujiang - Guangdong"
"86-3420","Renqiu - Hebei"
"86-892","Rikeze - Xizang (Tibet)"
"86-775","Rongxian - Guangxi"
"86-7077","Ruijin - Jiangxi"
"86-8885","Ruili - Yunnan"
"86-3013","Runan - Henan"
"86-576","Sanmen - Zhejiang"
"86-3891","Sanmenxia - Henan"
"86-898","Sanya - Hainan"
"86-4843","Shangdu - Nei Mongol"
"86-7051","Shanggao - Jiangxi"
"86-21","Shanghai - Shanghai"
"86-370","Shangqiu - Henan"
"86-793","Shangrao - Jiangxi"
"86-914","Shangzhou - Shaanxi"
"86-754","Shantou - Guangdong"
"86-751","Shaoguan - Guangdong"
"86-732","Shaoshan - Hunan"
"86-575","Shaoxing - Zhejiang"
"86-739","Shaoyang - Hunan"
"86-9229","Shenmu - Shaanxi"
"86-24","Shenyang - Liaoning"
"86-755","Shenzhen - Guangdong"
"86-993","Shihezi - Xinjiang"
"86-311","Shijiazhuang - Hebei"
"86-7462","Shimen - Hunan"
"86-8437","Shimian - Sichuan"
"86-595","Shishi - Fujian"
"86-719","Shiyan - Hubei"
"86-4615","Shuangcheng - Heilongjiang"
"86-434","Siping - Jilin"
"86-5483","Sishui - Shandong"
"86-438","Songyuan - Jilin"
"86-4638","Suifenhe - Heilongjiang"
"86-512","Suzhou - Jiangsu"
"86-9003","Tacheng - Xinjiang"
"86-538","Tai-an - Shandong"
"86-556","Tai-hu - Anhui"
"86-512","Taicang - Jiangsu"
"86-351","Taiyuan - Shanxi"
"86-5241","Taizhou - Jiangsu"
"86-315","Tangshan - Hebei"
"86-22","Tianjin - Tianjin"
"86-938","Tianshui - Gansu"
"86-576","Tiantai - Zhejiang"
"86-919","Tongchuan - Shaanxi"
"86-9233","Tongguan - Shaanxi"
"86-435","Tonghua - Jilin"
"86-475","Tongliao - Nei Mongol"
"86-5612","Tongling - Anhui"
"86-856","Tongren - Guizhou"
"86-4436","Tumen - Jilin"
"86-4858","Tuquan - Neimengu"
"86-995","Turufan - Xinjiang"
"86-991","Urumqi - Xinjiang"
"86-819","Wanxian - Sichuan"
"86-536","Weifang - Shandong"
"86-996","Weili - Xinjiang"
"86-913","Weinan - Shaanxi"
"86-876","Wenshan - Yunnan"
"86-577","Wenzhou - Zhejiang"
"86-4817","Wuchuan - Nei Mongol"
"86-939","Wudu - Gansu"
"86-473","Wuhai - Nei Mongol"
"86-27","Wuhan - Hubei"
"86-553","Wuhu - Anhui"
"86-4814","Wulanhaote - Nei Mongol"
"86-935","Wuwei - Gansu"
"86-510","Wuxi - Jiangsu"
"86-512","Wuxian - Jiangsu"
"86-7239","Wuxue - Hubei"
"86-599","Wuyishan - Fujian"
"86-4881","Wuyuan - Neimengu"
"86-934","Xi-feng - Gansu"
"86-29","Xi'an - Shaanxi"
"86-592","Xiamen - Fujian"
"86-710","Xiangfan - Hubei"
"86-732","Xiangtan - Hunan"
"86-576","Xianju - Zhejiang"
"86-910","Xianyang - Shaanxi"
"86-834","Xichang - Sichuan"
"86-8638","Xifeng - Guizhou"
"86-5482","Xin-tai - Shandong"
"86-7073","Xingguo - Jiangxi"
"86-750","Xinhui - Guangdong"
"86-971","Xining - Qinghai"
"86-24","Xinmin - Liaoning"
"86-319","Xintai - Hebei"
"86-373","Xinxiang - Henan"
"86-859","Xinyi - Guizhou"
"86-790","Xinyu - Jiangxi"
"86-9096","Xinyuan - Xinjiang"
"86-313","Xuanhua - Hebei"
"86-374","Xuchang - Henan"
"86-477","Xuejiawan - Nei Mongol"
"86-516","Xuzhou - Jiangsu"
"86-835","Ya-an - Sichuan"
"86-911","Yan-an - Shaanxi"
"86-515","Yancheng - Jiangsu"
"86-890","Yangpu - Hainan"
"86-353","Yangquan - Shanxi"
"86-514","Yangzhou - Jiangsu"
"86-433","Yanji - Jilin"
"86-3832","Yanjin - Henan"
"86-535","Yantai - Shandong"
"86-795","Yi-chun - Jiangxi"
