"Phone Code","Description"
"1-941","Sarasota"
"1-906","Sault Ste Marie"
"1-912","Savannah"
"1-570","Scranton"
"1-206","Seattle"
"1-564","Seattle"
"1-318","Shreveport"
"1-301","Silver Spring"
"1-227","Silver Spring"
"1-712","Sioux City"
"1-605","Sioux Falls"
"1-574","South Bend"
"1-509","Spokane"
"1-417","Springfield"
"1-636","St. Charles"
"1-435","St. George"
"1-314","St. Louis"
"1-557","St. Louis"
"1-651","St. Paul"
"1-727","St. Petersburg"
"1-662","Starkville"
"1-209","Stockton"
"1-209","Stockton"
"1-315","Syracuse"
"1-253","Tacoma"
"1-850","Tallahassee"
"1-813","Tampa"
"1-419","Toledo"
"1-567","Toledo"
"1-785","Topeka"
"1-947","Troy"
"1-520","Tucson"
"1-918","Tulsa"
"1-430","Tyler"
"1-903","Tyler"
"1-757","Virginia Beach"
"1-586","Warren"
"1-202","Washington"
"1-847","Waukegan"
"1-224","Waukegan"
"1-561","West Palm Beach"
"1-316","Wichita"
"1-302","Wilmington"
"1-774","Worcester"
"1-508","Worcester"
"1-914","Yonkers"
"1-928","Yuma"
