"Phone Code","Description"
"992-37745","Bokhtar"
"992-372","Dushanbe"
"992-3249","Dusti"
"992-3131","Gharm"
"992-34402","Kairakkum"
"992-35220","Khorog"
"992-3422","Khujand"
"992-3771","Kolkhozabad"
"992-3322","Kulob"
"992-3475","Panjakent"
"992-3222","Qurghonteppa"
"992-3240","Shartuz"
