"Phone Code","Description"
"40-259","Oradea"
"40-254","Orastie"
"40-255","Oravita"
"40-252","Orsova"
"40-255","Otelu Rosu"
"40-21","Otopeni"
"40-241","Ovidiu"
"40-241","Palazu Mare"
"40-237","Panciu"
"40-234","Parava"
"40-232","Pascani"
"40-238","Patirla Gele"
"40-257","Paulis"
"40-258","Petresti (judetz: Alba)"
"40-245","Petresti (judetz: Dambovita)"
"40-254","Petrila"
"40-254","Petrosani"
"40-241","Piatra"
"40-233","Piatra Neamt"
"40-251","Pielesti"
"40-245","Pietrosita"
"40-234","Pincesti"
"40-268","Piriul Rece"
"40-248","Pitesti"
"40-251","Plenita"
"40-244","Ploiesti"
"40-244","Plopeni"
"40-251","Podari"
"40-232","Podu Iloaiei"
"40-234","Podu Turcului"
"40-244","Podu Vadului"
"40-234","Poduri"
"40-238","Pogoanele"
"40-241","Poiana"
"40-268","Poiana Brasov"
"40-244","Poiana Cimpina"
"40-268","Poiana Marului"
"40-244","Poiana Tapului"
"40-268","Predeal"
"40-263","Prundu Birgaului"
"40-245","Pucioasa"
"40-234","Racaciuni"
"40-245","Racari"
"40-230","Radauti"
"40-269","Rasinari"
"40-241","Razoare"
"40-245","Razvad"
"40-265","Reghin"
"40-241","Remus Opreanu"
"40-255","Resita"
"40-238","Rimnicu Sarat"
"40-250","Rimnicu Vilcea"
"40-231","Ripiceni"
"40-268","Risnov"
"40-233","Roman"
"40-254","Romos"
"40-254","Ropotu Mare"
"40-247","Rosiori De Vede"
"40-233","Roznov"
"40-248","Rucar"
"40-268","Rupea"
"40-268","Sacele"
"40-241","Saligny"
"40-269","Saliste"
"40-259","Salonta"
"40-254","Sarmisege- Tuza"
"40-258","Sasciori"
"40-234","Sascut"
"40-261","Satu Mare"
"40-241","Satu Nou"
"40-241","Saturn"
"40-234","Saucesti"
"40-231","Saveni"
"40-233","Savinesti"
"40-257","Savirsin"
"40-241","Schitu"
"40-243","Scinteia"
"40-249","Scornicesti"
"40-238","Scurtesti"
"40-258","Sebes"
"40-257","Sebis"
"40-234","Secuieni"
"40-251","Segarcea"
"40-241","Seimenii Mici"
"40-262","Seini"
"40-257","Seitin"
"40-269","Selimbar"
"40-267","Sfintu Gheorghe"
"40-241","Sibioara"
"40-269","Sibiu"
"40-262","Sighetu Marmatiei"
"40-265","Sighisoara"
"40-254","Simeria"
"40-241","Siminoc"
"40-260","Simleul Silvaniei"
"40-244","Sinaia"
"40-263","Singeorz-Bai"
"40-256","Sinnicolau-Mare"
"40-268","Sinpetru"
"40-254","Sintandrei"
"40-258","Sintimbru"
"40-230","Siret"
"40-257","Siria"
"40-267","Sita Buzaului"
"40-244","Slanic"
"40-234","Slanic Moldova"
"40-249","Slatina"
"40-243","Slobozia"
"40-2179","Snagov"
"40-257","Sofronea"
"40-254","Soimus"
"40-230","Solca"
"40-265","Sovata Bai"
"40-248","Stefanesti"
"40-259","Stei"
"40-248","Stolnici"
"40-252","Strehaia"
"40-230","Suceava"
"40-240","Sulina"
"40-269","Talmaciu"
"40-243","Tandarei"
"40-261","Tasnad"
"40-241","Techirghiol"
"40-236","Tecuci"
"40-244","Telega"
"40-254","Teliucu Inferior"
"40-256","Teremia Mare"
"40-256","Timisoara"
"40-268","Timisu De Jos"
"40-268","Timisu De Sus"
"40-244","Tintea"
"40-245","Tirgoviste"
"40-236","Tirgu Bujor"
"40-232","Tirgu Frumos"
"40-253","Tirgu Jiu"
"40-262","Tirgu Lapus"
"40-265","Tirgu Mures"
"40-233","Tirgu Neamt"
"40-234","Tirgu Ocna"
"40-267","Tirgu Secuiesc"
"40-265","Tirnaveni"
"40-253","Tismana"
"40-245","Titu"
"40-268","Tohan"
"40-266","Toplita"
"40-248","Topoloveni"
"40-241","Tortoman"
"40-234","Traian"
"40-240","Tulcea"
"40-253","Turceni"
"40-264","Turda"
"40-247","Turnu Magurele"
"40-241","Tuzla"
"40-244","Urlati"
"40-243","Urziceni"
"40-245","Vacaresti"
"40-231","Vaculesti"
"40-241","Vadu Oii"
"40-238","Vadu Pasii"
"40-255","Valea Bolvasnita"
"40-244","Valea Calugareasca"
"40-243","Valea Ciorii"
"40-241","Valea Dacilor"
"40-244","Valea Doftanei"
"40-244","Valenii De Munte"
"40-241","Vama Veche"
"40-256","Varias"
"40-235","Vaslui"
"40-230","Vatra Dornei"
"40-230","Vatra Moldovitei"
"40-241","Venus"
"40-254","Vetel"
"40-268","Victoria"
"40-247","Videle"
"40-261","Viile Satu Mare"
"40-233","Viisoara"
"40-233","Vinatorii-Neamt"
"40-257","Vinga"
"40-252","Vinju Mare"
"40-257","Vladimirescu"
"40-250","Voicesti"
"40-245","Voinesti"
"40-254","Vulcan"
"40-257","Zadareni"
"40-260","Zalau"
"40-233","Zanesti"
"40-268","Zarnesti"
"40-247","Zimnicea"
"40-258","Zlatna"
