"Phone Code","Description"
"682-31","Aitutaki"
"682-32","Aitutaki"
"682-33","Atiu"
"682-34","Mangaia"
"682-43","Manihiki"
"682-35","Mauke"
"682-36","Mitiaro"
"682-45","Nassau"
"682-37","Palmerston"
"682-42","Penrhyn"
"682-41","Pukapuka"
"682-44","Rakahanga"
"682-2","Rarotonga"
